
SELL:[X] 02:00:18 10.01.24 | CONUTER:0 time_diff =>284
SELL:[0k] 02:00:23 10.01.24 | CONUTER:1 time_diff =>5
SELL:[X] 02:00:44 10.01.24 | CONUTER:0 time_diff =>21
SELL:[0k] 02:00:46 10.01.24 | CONUTER:1 time_diff =>2
SELL:[0k] 02:00:51 10.01.24 | CONUTER:2 time_diff =>5
SELL:[0k] 02:00:54 10.01.24 | CONUTER:3 time_diff =>3
SELL:[0k] 02:00:56 10.01.24 | CONUTER:4 time_diff =>2
SELL:[0k] 02:00:59 10.01.24 | CONUTER:5 time_diff =>3
SELL:[X] 02:01:35 10.01.24 | CONUTER:0 time_diff =>36
SELL:[X] 02:02:05 10.01.24 | CONUTER:0 time_diff =>30
SELL:[0k] 02:02:08 10.01.24 | CONUTER:1 time_diff =>3
SELL:[0k] 02:02:10 10.01.24 | CONUTER:2 time_diff =>2
SELL:[X] 02:02:26 10.01.24 | CONUTER:0 time_diff =>16
SELL:[0k] 02:02:28 10.01.24 | CONUTER:1 time_diff =>2
SELL:[0k] 02:02:31 10.01.24 | CONUTER:2 time_diff =>3
SELL:[0k] 02:02:34 10.01.24 | CONUTER:3 time_diff =>3
SELL:[0k] 02:02:36 10.01.24 | CONUTER:4 time_diff =>2
SELL:[0k] 02:02:39 10.01.24 | CONUTER:5 time_diff =>3
SELL:[0k] 02:02:41 10.01.24 | CONUTER:6 time_diff =>2
SELL:[0k] 02:02:44 10.01.24 | CONUTER:7 time_diff =>3
=======<><><><><><><><><><><><><><><><><>======
    SELLING: 02:02:43 price:46030.005
	#| PROF=>46030.005 - 46084.111=> -0.117407060320638% |#
	#46030.005#46048.114#46049.269#46096.171 
	------------------------------


BUYING:[X] 02:04:30 10.01.24 | CONUTER:0 time_diff =>106
BUYING:[X] 02:05:31 10.01.24 | CONUTER:0 time_diff =>61
BUYING:[0k] 02:05:33 10.01.24 | CONUTER:1 time_diff =>2
BUYING:[X] 02:08:01 10.01.24 | CONUTER:0 time_diff =>148
BUYING:[0k] 02:08:04 10.01.24 | CONUTER:1 time_diff =>3
BUYING:[0k] 02:08:06 10.01.24 | CONUTER:2 time_diff =>2
BUYING:[0k] 02:08:09 10.01.24 | CONUTER:3 time_diff =>3
BUYING:[0k] 02:08:12 10.01.24 | CONUTER:4 time_diff =>3
BUYING:[0k] 02:08:14 10.01.24 | CONUTER:5 time_diff =>2
BUYING:[0k] 02:08:17 10.01.24 | CONUTER:6 time_diff =>3
True BUYING: 02:08:16 price:46136.019 
	#46077.976#46136.019#46130.328#46130.262 
	-58.042999999997846 > 5.690999999998894
	------------------------------

SELL:[X] 02:14:02 10.01.24 | CONUTER:0 time_diff =>345
SELL:[X] 02:14:09 10.01.24 | CONUTER:0 time_diff =>7
SELL:[X] 02:20:10 10.01.24 | CONUTER:0 time_diff =>361
SELL:[0k] 02:20:13 10.01.24 | CONUTER:1 time_diff =>3
SELL:[0k] 02:20:16 10.01.24 | CONUTER:2 time_diff =>3
SELL:[0k] 02:20:18 10.01.24 | CONUTER:3 time_diff =>2
SELL:[0k] 02:20:21 10.01.24 | CONUTER:4 time_diff =>3
SELL:[X] 02:20:49 10.01.24 | CONUTER:0 time_diff =>28
SELL:[0k] 02:20:51 10.01.24 | CONUTER:1 time_diff =>2
SELL:[0k] 02:20:54 10.01.24 | CONUTER:2 time_diff =>3
SELL:[0k] 02:20:57 10.01.24 | CONUTER:3 time_diff =>3
SELL:[0k] 02:20:59 10.01.24 | CONUTER:4 time_diff =>2
SELL:[0k] 02:21:02 10.01.24 | CONUTER:5 time_diff =>3
SELL:[0k] 02:21:04 10.01.24 | CONUTER:6 time_diff =>2
SELL:[0k] 02:21:07 10.01.24 | CONUTER:7 time_diff =>3
=======<><><><><><><><><><><><><><><><><>======
    SELLING: 02:21:06 price:46158.01
	#| PROF=>46158.01 - 46136.019=> 0.047665577734398376% |#
	#46158.01#46179.863#46179.309#46204.073 
	------------------------------


BUYING:[X] 02:26:47 10.01.24 | CONUTER:0 time_diff =>340
BUYING:[0k] 02:26:49 10.01.24 | CONUTER:1 time_diff =>2
BUYING:[0k] 02:26:52 10.01.24 | CONUTER:2 time_diff =>3
BUYING:[X] 02:34:05 10.01.24 | CONUTER:0 time_diff =>433
BUYING:[0k] 02:34:08 10.01.24 | CONUTER:1 time_diff =>3
